title;description;date;link
PiMp$, Hoggz, N Double Saws;;Wed, 02 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/78-pimp-hoggz-n-double-saws.mp3
Nukes on Nukes on Nukes;;Wed, 09 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/79-nukes-on-nukes-on-nukes.mp3
The Morning Blowout;;Wed, 16 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/80-the-morning-blowout.mp3
Ideological Laser Tag;;Wed, 23 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/81-ideological-laser-tag.mp3
Locker Room Talk of Yore;;Wed, 30 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/82-locker-room-talk-of-yore.mp3
Big Snoring Poppas;;Wed, 06 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/83-big-snoring-poppas.mp3
Kang on Top;;Thu, 14 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/84-kang-on-top.mp3
Double Stanky;;Fri, 22 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/85-double-stanky.mp3
Gargoyle Attack;;Fri, 29 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/86-gargoyle-attack.mp3
New Low;;Tue, 10 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/87-new-low.mp3
Bad Dog Park;;Sun, 22 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/88-bad-dog-park.mp3
Trying 2 Wrangle Mah B!tch;;Tue, 24 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/89-trying-2-wrangle-mah-b-tch.mp3
Red Scare;;Tue, 31 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/90-red-scare.mp3
Lights, Camera, Action;;Wed, 08 Aug 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/91-lights-camera-action.mp3
CAST #3;;Wed, 15 Aug 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/92-cast-3.mp3
Saurian Greed;;Sat, 25 Aug 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/93-saurian-greed.mp3
The Naughty Universe;;Tue, 04 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/94-the-naughty-universe.mp3
The Shat Revelations;;Tue, 11 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/95-the-shat-revelations.mp3
Feel Da Luh;;Tue, 18 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/96-feel-da-luh.mp3
Ka-Pow!;;Tue, 25 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/97-ka-pow.mp3
The Great Divide;;Tue, 09 Oct 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/98-the-great-divide.mp3
Triple Diggies;;Tue, 16 Oct 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/99-triple-diggies.mp3
