number;link;title;date
54;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 54 - I_m Crumming [Nov. 8, 2017].mp3;I'm Crumming;Nov. 15, 2017
55;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 55 - Fapgate [Nov. 15, 2017].mp3;Fapgate;Nov. 29, 2017
56;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 56 - Live Castaddressing the haterz [Nov. 29, 2017].mp3;Live Castaddressing the haterz;Dec. 6, 2017
57;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 57 - The 48 Laws of Lauer [Dec. 6, 2017].mp3;The 48 Laws of Lauer;Dec. 13, 2017
58;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 58 - Quintessential [Dec. 13, 2017].mp3;Quintessential;Dec. 20, 2017
59;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 59 - Triggered by Star Wars [Dec. 20, 2017].mp3;Triggered by Star Wars;Dec. 27, 2017
60;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 60 - No Breaks [Dec. 27, 2017].mp3;No Breaks;Jan. 3, 2018
61;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 61 - New Year_s Rezzolutions [Jan. 3, 2018].mp3;New Year's Rezzolutions;Jan. 9, 2018
62;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 62 - Golden Cousins [Jan. 9, 2018].mp3;Golden Cousins;Jan. 16, 2018
63;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 63 - Matt and Shane_s Catholic Podcast [Jan. 16, 2018].mp3;Matt and Shane's Catholic Podcast;Jan. 24, 2018
64;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 64 - The Danish Submarine [Jan. 24, 2018].mp3;The Danish Submarine;Jan. 31, 2018
65;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 65 - Grammy_s So Male [Jan. 31, 2018].mp3;Grammy's So Male;Feb. 7, 2018
66;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 66 - Gimme a Juicer [Feb. 7, 2018].mp3;Gimme a Juicer;Feb. 14, 2018
67;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 67 - The Storm Card [Feb. 14, 2018].mp3;The Storm Card;Feb. 21, 2018
